TOTAL_SEQUENCES TOTAL_ASV SINGLE_ASV DOUBLE_ASV
Axial_Anemone_FS891_2013 34437 495 43 26
Axial_AnemonePlume_AnemonePlume_2015 34368 563 30 46
Axial_Boca_FS905_2013 178717 2544 447 188
Axial_BSW1500m_BSW1500m_2015 50746 560 23 22
Axial_Dependable_FS900_2013 52 4 0 0
Axial_ElGuapo_FS896_2013 54791 1012 123 59
Axial_ExtractControl_CTRL_2019 2810 25 0 0
Axial_Marker113_FS903_2013 61578 654 24 42
Axial_Marker113_FS906_2014 34428 359 5 14
Axial_Marker113_FS915_2015 47782 604 18 27
Axial_Marker33_FS904_2013 34423 467 16 27
Axial_Marker33_FS908_2014 52950 794 23 37
Axial_N3Area_FS898_2013 54796 660 12 29
Axial_Skadi_FS902_2013 38955 38 1 6
Axial_Skadi_FS910_2014 68756 900 10 10
GordaRdige_Vent090_T24_2019 46111 607 53 25
GordaRidge_BSW020_sterivex_2019_REPa 5 1 0 0
GordaRidge_BSW056_sterivex_2019_REPb 24673 802 172 91
GordaRidge_BSW081_sterivex_2019 39110 969 200 85
GordaRidge_Plume001_sterivex_2019_REPa 75034 818 17 24
GordaRidge_Plume001_sterivex_2019_REPb 28791 623 85 52
GordaRidge_Plume001_T0_2019_REP12 83503 527 12 20
GordaRidge_Plume001_T0_2019_REP34 102650 604 21 20
GordaRidge_Plume001_T24_2019_REP12 65170 576 3 14
GordaRidge_Plume001_T36_2019_REP12 40725 560 10 13
GordaRidge_Plume036_sterivex_2019_REPb 58751 580 74 18
GordaRidge_Plume096_sterivex_2019 37346 1050 295 95
GordaRidge_Shipblank_CTRL_2019_S31 1041 22 0 0
GordaRidge_Shipblank_CTRL_2019_S32 10858 34 0 2
GordaRidge_Shipblank_CTRL_2019_S33 75847 100 0 1
GordaRidge_Vent009_SUPRS1_2019 44477 313 34 22
GordaRidge_Vent010_SUPRS2_2019 55334 631 43 21
GordaRidge_Vent011_SUPRS3_2019 68796 720 30 23
GordaRidge_Vent013_T0_2019_REP13 88601 873 14 21
GordaRidge_Vent013_T36_2019_REP12 52302 721 4 14
GordaRidge_Vent013_T36_2019_REP34 67424 819 4 14
GordaRidge_Vent039_SUPRS1_2019 29754 638 129 70
GordaRidge_Vent040_SUPRS2_2019 44528 774 88 61
GordaRidge_Vent041_SUPRS3_2019 38695 858 98 48
GordaRidge_Vent043_T0_2019_REP13 29284 569 72 23
GordaRidge_Vent043_T36_2019_REP13 42663 365 17 17
GordaRidge_Vent086_SUPRS1_2019 55214 873 106 44
GordaRidge_Vent087_SUPRS2_2019 45396 819 102 53
GordaRidge_Vent088_SUPRS3_2019 41011 879 113 72
GordaRidge_Vent105_SUPRS9_2019 40742 563 52 26
GordaRidge_Vent106_SUPRS10_2019 39752 1004 220 105
GordaRidge_Vent107_SUPRS11_2019 34899 822 136 77
GordaRidge_Vent110_T24_2019 58532 504 13 12
Siders_Anoxic12m_JULY_2019 47452 293 38 29
Siders_Surface_JULY_2019 36264 196 56 20
Siders_Surface_MARCH_2019 40367 492 165 84
